Date,Franchise,City,Product,Sales,Profit
01-Sep-24,M1,Mumbai,Amaretto,133,19
01-Oct-24,M1,Mumbai,Amaretto,138,41
01-Nov-24,M1,Mumbai,Amaretto,107,-6
01-Dec-24,M1,Mumbai,Amaretto,142,36
01-Jan-25,M1,Mumbai,Amaretto,256,111
01-Feb-25,M1,Mumbai,Amaretto,110,20
01-Mar-25,M1,Mumbai,Amaretto,87,-138
01-Apr-25,M1,Mumbai,Amaretto,61,17
01-May-25,M1,Mumbai,Amaretto,133,18
01-Jun-25,M1,Mumbai,Amaretto,151,49
01-Jul-25,M1,Mumbai,Amaretto,95,-10
01-Aug-25,M1,Mumbai,Amaretto,132,32
01-Sep-25,M1,Mumbai,Amaretto,301,133
01-Oct-25,M1,Mumbai,Amaretto,108,19
01-Nov-25,M1,Mumbai,Amaretto,87,-139
01-Dec-25,M1,Mumbai,Amaretto,63,19
01-Jan-26,M1,Mumbai,Amaretto,140,21
01-Feb-26,M1,Mumbai,Amaretto,151,48
01-Mar-26,M1,Mumbai,Amaretto,89,-11
01-Apr-26,M1,Mumbai,Amaretto,110,24
01-May-26,M1,Mumbai,Amaretto,302,134
01-Jun-26,M1,Mumbai,Amaretto,125,28
01-Jul-26,M1,Mumbai,Amaretto,109,-74
01-Aug-26,M1,Mumbai,Amaretto,48,13
01-Sep-26,M1,Mumbai,Amaretto,149,23
01-Oct-26,M1,Mumbai,Amaretto,120,33
01-Nov-26,M1,Mumbai,Amaretto,126,-3
01-Dec-26,M1,Mumbai,Amaretto,136,33
01-Jan-21,M2,Mumbai,Amaretto,302,133
01-Feb-21,M2,Mumbai,Amaretto,123,26
01-Mar-21,M2,Mumbai,Amaretto,109,-74
01-Apr-21,M2,Mumbai,Amaretto,52,15
01-May-21,M2,Mumbai,Amaretto,126,15
01-Jun-21,M2,Mumbai,Amaretto,120,33
01-Jul-21,M2,Mumbai,Amaretto,122,-5
01-Aug-21,M2,Mumbai,Amaretto,142,36
01-Sep-21,M2,Mumbai,Amaretto,290,128
01-Oct-21,M2,Mumbai,Amaretto,138,33
01-Nov-21,M2,Mumbai,Amaretto,116,-56
01-Dec-21,M2,Mumbai,Amaretto,39,8
01-Jan-22,M2,Mumbai,Amaretto,121,14
01-Feb-22,M2,Mumbai,Amaretto,113,30
01-Mar-22,M2,Mumbai,Amaretto,125,-4
01-Apr-22,M2,Mumbai,Amaretto,150,39
01-May-22,M2,Mumbai,Amaretto,302,134
01-Jun-22,M2,Mumbai,Amaretto,127,29
01-Jul-22,M2,Mumbai,Amaretto,102,-88
01-Aug-22,M2,Mumbai,Amaretto,41,10
01-Sep-22,M2,Mumbai,Amaretto,145,22
01-Oct-22,M2,Mumbai,Amaretto,127,37
01-Nov-22,M2,Mumbai,Amaretto,112,-7
01-Dec-22,M2,Mumbai,Amaretto,139,36
01-Jan-23,M2,Mumbai,Amaretto,245,146
01-Feb-23,M2,Mumbai,Amaretto,157,53
01-Mar-23,M2,Mumbai,Amaretto,162,-3
01-Apr-23,M2,Mumbai,Amaretto,50,17
01-May-23,M2,Mumbai,Amaretto,134,20
01-Jun-23,M2,Mumbai,Amaretto,104,31
01-Jul-23,M2,Mumbai,Amaretto,168,2
01-Aug-23,M2,Mumbai,Amaretto,190,73
01-Sep-23,M2,Mumbai,Amaretto,259,156
01-Oct-23,M2,Mumbai,Amaretto,149,49
01-Nov-23,M2,Mumbai,Amaretto,141,-40
01-Dec-23,M2,Mumbai,Amaretto,48,15
01-Jan-24,M2,Mumbai,Amaretto,126,18
01-Feb-24,M2,Mumbai,Amaretto,108,37
01-Mar-24,M2,Mumbai,Amaretto,137,-6
01-Apr-24,M2,Mumbai,Amaretto,176,68
01-May-24,M2,Mumbai,Amaretto,227,134
01-Jun-24,M2,Mumbai,Amaretto,143,47
01-Jul-24,M2,Mumbai,Amaretto,133,-61
01-Aug-24,M2,Mumbai,Amaretto,48,15
01-Sep-24,M2,Mumbai,Amaretto,128,19
01-Oct-24,M2,Mumbai,Amaretto,114,43
01-Nov-24,M2,Mumbai,Amaretto,133,-4
01-Dec-24,M2,Mumbai,Amaretto,174,67
01-Jan-25,M2,Mumbai,Amaretto,238,142
01-Feb-25,M2,Mumbai,Amaretto,137,42
01-Mar-25,M2,Mumbai,Amaretto,117,-113
01-Apr-25,M2,Mumbai,Amaretto,50,16
01-May-25,M2,Mumbai,Amaretto,135,24
01-Jun-25,M2,Mumbai,Amaretto,129,49
01-Jul-25,M2,Mumbai,Amaretto,133,-4
01-Aug-25,M2,Mumbai,Amaretto,178,70
01-Sep-25,M2,Mumbai,Amaretto,254,153
01-Oct-25,M2,Mumbai,Amaretto,122,37
01-Nov-25,M2,Mumbai,Amaretto,105,-116
01-Dec-25,M2,Mumbai,Amaretto,49,17
01-Jan-26,M2,Mumbai,Amaretto,129,23
01-Feb-26,M2,Mumbai,Amaretto,124,48
01-Mar-26,M2,Mumbai,Amaretto,127,-3
01-Apr-26,M2,Mumbai,Amaretto,147,52
01-May-26,M2,Mumbai,Amaretto,274,167
01-Jun-26,M2,Mumbai,Amaretto,117,33
01-Jul-26,M2,Mumbai,Amaretto,95,-156
01-Aug-26,M2,Mumbai,Amaretto,57,25
01-Sep-26,M2,Mumbai,Amaretto,132,26
01-Oct-26,M2,Mumbai,Amaretto,137,57
01-Nov-26,M2,Mumbai,Amaretto,106,-8
01-Dec-26,M2,Mumbai,Amaretto,141,50
01-Jan-21,M3,Mumbai,Amaretto,254,153
01-Feb-21,M3,Mumbai,Amaretto,109,28
01-Mar-21,M3,Mumbai,Amaretto,86,-190
01-Apr-21,M3,Mumbai,Amaretto,60,23
01-May-21,M3,Mumbai,Amaretto,132,25
01-Jun-21,M3,Mumbai,Amaretto,150,68
01-Jul-21,M3,Mumbai,Amaretto,94,-14
01-Aug-21,M3,Mumbai,Amaretto,131,44
01-Sep-21,M3,Mumbai,Amaretto,298,184
01-Oct-21,M3,Mumbai,Amaretto,107,26
01-Nov-21,M3,Mumbai,Amaretto,86,-192
01-Dec-21,M3,Mumbai,Amaretto,62,26
01-Jan-22,M3,Mumbai,Amaretto,139,29
01-Feb-22,M3,Mumbai,Amaretto,150,66
01-Mar-22,M3,Mumbai,Amaretto,88,-15
01-Apr-22,M3,Mumbai,Amaretto,109,33
01-May-22,M3,Mumbai,Amaretto,322,199
01-Jun-22,M3,Mumbai,Amaretto,133,42
01-Jul-22,M3,Mumbai,Amaretto,116,-110
01-Aug-22,M3,Mumbai,Amaretto,51,19
01-Sep-22,M3,Mumbai,Amaretto,159,34
01-Oct-22,M3,Mumbai,Amaretto,128,49
01-Nov-22,M3,Mumbai,Amaretto,134,-4
01-Dec-22,M3,Mumbai,Amaretto,145,49
01-Jan-23,M3,Mumbai,Amaretto,322,197
01-Feb-23,M3,Mumbai,Amaretto,131,39
01-Mar-23,M3,Mumbai,Amaretto,116,-110
01-Apr-23,M3,Mumbai,Amaretto,55,22
01-May-23,M3,Mumbai,Amaretto,134,22
01-Jun-23,M3,Mumbai,Amaretto,128,49
01-Jul-23,M3,Mumbai,Amaretto,130,-7
01-Aug-23,M3,Mumbai,Amaretto,151,53
01-Sep-23,M3,Mumbai,Amaretto,309,190
01-Oct-23,M3,Mumbai,Amaretto,147,49
01-Nov-23,M3,Mumbai,Amaretto,124,-83
01-Dec-23,M3,Mumbai,Amaretto,42,12
01-Jan-24,M3,Mumbai,Amaretto,129,21
01-Feb-24,M3,Mumbai,Amaretto,120,45
01-Mar-24,M3,Mumbai,Amaretto,133,-6
01-Apr-24,M3,Mumbai,Amaretto,160,58
01-May-24,M3,Mumbai,Amaretto,322,199
01-Jun-24,M3,Mumbai,Amaretto,135,43
01-Jul-24,M3,Mumbai,Amaretto,109,-131
01-Aug-24,M3,Mumbai,Amaretto,44,15
01-Sep-24,M3,Mumbai,Amaretto,155,33
01-Oct-24,M3,Mumbai,Amaretto,135,55
01-Nov-24,M3,Mumbai,Amaretto,119,-10
01-Dec-24,M3,Mumbai,Amaretto,148,53
01-Jan-25,M3,Mumbai,Amaretto,116,-10
01-Feb-25,M3,Mumbai,Amaretto,169,86
01-Mar-25,M3,Mumbai,Amaretto,116,-9
01-Apr-25,M3,Mumbai,Amaretto,56,22
01-May-25,M3,Mumbai,Amaretto,55,21
01-Jun-25,M3,Mumbai,Amaretto,131,40
01-Jul-25,M3,Mumbai,Amaretto,251,129
01-Aug-25,M3,Mumbai,Amaretto,134,24
01-Sep-25,M3,Mumbai,Amaretto,131,71
01-Oct-25,M3,Mumbai,Amaretto,567,291
01-Nov-25,M3,Mumbai,Amaretto,387,159
01-Dec-25,M3,Mumbai,Amaretto,239,22
01-Jan-26,M3,Mumbai,Amaretto,128,-12
01-Feb-26,M3,Mumbai,Amaretto,65,-300
01-Mar-26,M3,Mumbai,Amaretto,309,188
01-Apr-26,M3,Mumbai,Amaretto,308,39
01-May-26,M3,Mumbai,Amaretto,60,24
01-Jun-26,M3,Mumbai,Amaretto,141,76
01-Jul-26,M3,Mumbai,Amaretto,175,67
01-Aug-26,M3,Mumbai,Amaretto,157,3
01-Sep-26,M3,Mumbai,Amaretto,113,-12
01-Oct-26,M3,Mumbai,Amaretto,150,73
01-Nov-26,M3,Mumbai,Amaretto,113,-10
01-Dec-26,M3,Mumbai,Amaretto,85,43
01-Jan-21,M1,Mumbai,Caffe Latte,180,53
01-Feb-21,M1,Mumbai,Caffe Latte,456,140
01-Mar-21,M1,Mumbai,Caffe Latte,180,8
01-Apr-21,M1,Mumbai,Caffe Latte,65,-8
01-May-21,M1,Mumbai,Caffe Latte,200,66
01-Jun-21,M1,Mumbai,Caffe Latte,43,11
01-Jul-21,M1,Mumbai,Caffe Latte,130,16
01-Aug-21,M1,Mumbai,Caffe Latte,114,44
01-Sep-21,M1,Mumbai,Caffe Latte,110,35
01-Oct-21,M1,Mumbai,Caffe Latte,189,58
01-Nov-21,M1,Mumbai,Caffe Latte,457,142
01-Dec-21,M1,Mumbai,Caffe Latte,155,2
01-Jan-22,M1,Mumbai,Caffe Latte,68,-7
01-Feb-22,M1,Mumbai,Caffe Latte,206,70
01-Mar-22,M1,Mumbai,Caffe Latte,43,31
01-Apr-22,M1,Mumbai,Caffe Latte,132,18
01-May-22,M1,Mumbai,Caffe Latte,103,38
01-Jun-22,M1,Mumbai,Caffe Latte,110,35
01-Jul-22,M1,Mumbai,Caffe Latte,180,54
01-Aug-22,M1,Mumbai,Caffe Latte,478,149
01-Sep-22,M1,Mumbai,Caffe Latte,150,1
01-Oct-22,M1,Mumbai,Caffe Latte,75,-3
01-Nov-22,M1,Mumbai,Caffe Latte,214,74
01-Dec-22,M1,Mumbai,Caffe Latte,43,31
01-Jan-23,M1,Mumbai,Caffe Latte,129,15
01-Feb-23,M1,Mumbai,Caffe Latte,118,45
01-Mar-23,M1,Mumbai,Caffe Latte,112,35
01-Apr-23,M1,Mumbai,Caffe Latte,170,48
01-May-23,M1,Mumbai,Caffe Latte,478,148
01-Jun-23,M1,Mumbai,Caffe Latte,150,1
01-Jul-23,M1,Mumbai,Caffe Latte,65,-9
01-Aug-23,M1,Mumbai,Caffe Latte,267,98
01-Sep-23,M1,Mumbai,Caffe Latte,43,32
01-Oct-23,M1,Mumbai,Caffe Latte,121,13
01-Nov-23,M1,Mumbai,Caffe Latte,112,43
01-Dec-23,M1,Mumbai,Caffe Latte,103,32
01-Jan-24,M1,Mumbai,Caffe Latte,160,44
01-Feb-24,M1,Mumbai,Caffe Latte,521,165
01-Mar-24,M1,Mumbai,Caffe Latte,154,3
01-Apr-24,M1,Mumbai,Caffe Latte,76,-4
01-May-24,M1,Mumbai,Caffe Latte,273,101
01-Jun-24,M1,Mumbai,Caffe Latte,43,31
01-Jul-24,M1,Mumbai,Caffe Latte,118,11
01-Aug-24,M1,Mumbai,Caffe Latte,97,36
01-Sep-24,M1,Mumbai,Caffe Latte,110,34
01-Oct-24,M1,Mumbai,Caffe Latte,135,33
01-Nov-24,M1,Mumbai,Caffe Latte,521,165
01-Dec-24,M1,Mumbai,Caffe Latte,128,-3
01-Jan-25,M1,Mumbai,Caffe Latte,78,-3
01-Feb-25,M1,Mumbai,Caffe Latte,282,105
01-Mar-25,M1,Mumbai,Caffe Latte,43,31
01-Apr-25,M1,Mumbai,Caffe Latte,115,11
01-May-25,M1,Mumbai,Caffe Latte,89,31
01-Jun-25,M1,Mumbai,Caffe Latte,110,34
01-Jul-25,M1,Mumbai,Caffe Latte,131,30
01-Aug-25,M1,Mumbai,Caffe Latte,532,167
01-Sep-25,M1,Mumbai,Caffe Latte,113,-6
01-Oct-25,M1,Mumbai,Caffe Latte,89,1
01-Nov-25,M1,Mumbai,Caffe Latte,336,128
01-Dec-25,M1,Mumbai,Caffe Latte,43,32
01-Jan-26,M1,Mumbai,Caffe Latte,115,12
01-Feb-26,M1,Mumbai,Caffe Latte,96,36
01-Mar-26,M1,Mumbai,Caffe Latte,115,36
01-Apr-26,M1,Mumbai,Caffe Latte,131,30
01-May-26,M1,Mumbai,Caffe Latte,532,167
01-Jun-26,M1,Mumbai,Caffe Latte,105,-7
01-Jul-26,M1,Mumbai,Caffe Latte,65,-8
01-Aug-26,M1,Mumbai,Caffe Latte,277,102
01-Sep-26,M1,Mumbai,Caffe Latte,43,32
01-Oct-26,M1,Mumbai,Caffe Latte,109,9
01-Nov-26,M1,Mumbai,Caffe Latte,80,28
01-Dec-26,M1,Mumbai,Caffe Latte,69,17
01-Jan-21,M2,Mumbai,Caffe Latte,150,39
01-Feb-21,M2,Mumbai,Caffe Latte,498,156
01-Mar-21,M2,Mumbai,Caffe Latte,149,2
01-Apr-21,M2,Mumbai,Caffe Latte,54,-12
01-May-21,M2,Mumbai,Caffe Latte,230,82
01-Jun-21,M2,Mumbai,Caffe Latte,43,32
01-Jul-21,M2,Mumbai,Caffe Latte,102,6
01-Aug-21,M2,Mumbai,Caffe Latte,79,27
01-Sep-21,M2,Mumbai,Caffe Latte,76,21
01-Oct-21,M2,Mumbai,Caffe Latte,182,55
01-Nov-21,M2,Mumbai,Caffe Latte,478,149
01-Dec-21,M2,Mumbai,Caffe Latte,144,1
01-Jan-22,M2,Mumbai,Caffe Latte,56,-12
01-Feb-22,M2,Mumbai,Caffe Latte,218,76
01-Mar-22,M2,Mumbai,Caffe Latte,43,32
01-Apr-22,M2,Mumbai,Caffe Latte,120,12
01-May-22,M2,Mumbai,Caffe Latte,79,28
01-Jun-22,M2,Mumbai,Caffe Latte,51,10
01-Jul-22,M2,Mumbai,Caffe Latte,189,59
01-Aug-22,M2,Mumbai,Caffe Latte,423,129
01-Sep-22,M2,Mumbai,Caffe Latte,147,1
01-Oct-22,M2,Mumbai,Caffe Latte,76,-4
01-Nov-22,M2,Mumbai,Caffe Latte,245,89
01-Dec-22,M2,Mumbai,Caffe Latte,43,31
01-Jan-23,M2,Mumbai,Caffe Latte,124,16
01-Feb-23,M2,Mumbai,Caffe Latte,81,27
01-Mar-23,M2,Mumbai,Caffe Latte,52,11
01-Apr-23,M2,Mumbai,Caffe Latte,168,47
01-May-23,M2,Mumbai,Caffe Latte,501,157
01-Jun-23,M2,Mumbai,Caffe Latte,131,-3
01-Jul-23,M2,Mumbai,Caffe Latte,45,-15
01-Aug-23,M2,Mumbai,Caffe Latte,320,121
01-Sep-23,M2,Mumbai,Caffe Latte,43,31
01-Oct-23,M2,Mumbai,Caffe Latte,103,6
01-Nov-23,M2,Mumbai,Caffe Latte,77,26
01-Dec-23,M2,Mumbai,Caffe Latte,56,13
01-Jan-24,M2,Mumbai,Caffe Latte,201,83
01-Feb-24,M2,Mumbai,Caffe Latte,510,218
01-Mar-24,M2,Mumbai,Caffe Latte,201,12
01-Apr-24,M2,Mumbai,Caffe Latte,73,-12
01-May-24,M2,Mumbai,Caffe Latte,224,103
01-Jun-24,M2,Mumbai,Caffe Latte,48,17
01-Jul-24,M2,Mumbai,Caffe Latte,145,25
01-Aug-24,M2,Mumbai,Caffe Latte,128,69
01-Sep-24,M2,Mumbai,Caffe Latte,123,55
01-Oct-24,M2,Mumbai,Caffe Latte,201,86
01-Nov-24,M2,Mumbai,Caffe Latte,487,211
01-Dec-24,M2,Mumbai,Caffe Latte,165,3
01-Jan-25,M2,Mumbai,Caffe Latte,72,-10
01-Feb-25,M2,Mumbai,Caffe Latte,220,104
01-Mar-25,M2,Mumbai,Caffe Latte,46,46
01-Apr-25,M2,Mumbai,Caffe Latte,141,27
01-May-25,M2,Mumbai,Caffe Latte,110,56
01-Jun-25,M2,Mumbai,Caffe Latte,117,52
01-Jul-25,M2,Mumbai,Caffe Latte,192,80
01-Aug-25,M2,Mumbai,Caffe Latte,509,221
01-Sep-25,M2,Mumbai,Caffe Latte,160,1
01-Oct-25,M2,Mumbai,Caffe Latte,80,-4
01-Nov-25,M2,Mumbai,Caffe Latte,228,110
01-Dec-25,M2,Mumbai,Caffe Latte,46,46
01-Jan-26,M2,Mumbai,Caffe Latte,137,22
01-Feb-26,M2,Mumbai,Caffe Latte,126,67
01-Mar-26,M2,Mumbai,Caffe Latte,119,52
01-Apr-26,M2,Mumbai,Caffe Latte,181,71
01-May-26,M2,Mumbai,Caffe Latte,509,220
01-Jun-26,M2,Mumbai,Caffe Latte,160,1
01-Jul-26,M2,Mumbai,Caffe Latte,69,-13
01-Aug-26,M2,Mumbai,Caffe Latte,285,145
01-Sep-26,M2,Mumbai,Caffe Latte,46,47
01-Oct-26,M2,Mumbai,Caffe Latte,129,19
01-Nov-26,M2,Mumbai,Caffe Latte,119,64
01-Dec-26,M2,Mumbai,Caffe Latte,110,47
01-Jan-21,B1,Banglore,Caffe Latte,159,61
01-Feb-21,B1,Banglore,Caffe Latte,516,228
01-Mar-21,B1,Banglore,Caffe Latte,153,4
01-Apr-21,B1,Banglore,Caffe Latte,75,-6
01-May-21,B1,Banglore,Caffe Latte,271,139
01-Jun-21,B1,Banglore,Caffe Latte,43,43
01-Jul-21,B1,Banglore,Caffe Latte,117,15
01-Aug-21,B1,Banglore,Caffe Latte,96,50
01-Sep-21,B1,Banglore,Caffe Latte,109,47
01-Oct-21,B1,Banglore,Caffe Latte,134,46
01-Nov-21,B1,Banglore,Caffe Latte,516,228
01-Dec-21,B1,Banglore,Caffe Latte,127,-4
01-Jan-22,B1,Banglore,Caffe Latte,77,-4
01-Feb-22,B1,Banglore,Caffe Latte,279,145
01-Mar-22,B1,Banglore,Caffe Latte,43,43
01-Apr-22,B1,Banglore,Caffe Latte,114,15
01-May-22,B1,Banglore,Caffe Latte,88,43
01-Jun-22,B1,Banglore,Caffe Latte,109,47
01-Jul-22,B1,Banglore,Caffe Latte,130,41
01-Aug-22,B1,Banglore,Caffe Latte,527,230
01-Sep-22,B1,Banglore,Caffe Latte,112,-8
01-Oct-22,B1,Banglore,Caffe Latte,88,1
01-Nov-22,B1,Banglore,Caffe Latte,333,177
01-Dec-22,B1,Banglore,Caffe Latte,43,44
01-Jan-23,B1,Banglore,Caffe Latte,114,17
01-Feb-23,B1,Banglore,Caffe Latte,95,50
01-Mar-23,B1,Banglore,Caffe Latte,114,50
01-Apr-23,B1,Banglore,Caffe Latte,130,41
01-May-23,B1,Banglore,Caffe Latte,527,230
01-Jun-23,B1,Banglore,Caffe Latte,104,-10
01-Jul-23,B1,Banglore,Caffe Latte,64,-11
01-Aug-23,B1,Banglore,Caffe Latte,275,141
01-Sep-23,B1,Banglore,Caffe Latte,43,44
01-Oct-23,B1,Banglore,Caffe Latte,108,12
01-Nov-23,B1,Banglore,Caffe Latte,79,39
01-Dec-23,B1,Banglore,Caffe Latte,68,23
01-Jan-24,B1,Banglore,Caffe Latte,160,58
01-Feb-24,B1,Banglore,Caffe Latte,531,232
01-Mar-24,B1,Banglore,Caffe Latte,159,3
01-Apr-24,B1,Banglore,Caffe Latte,58,-18
01-May-24,B1,Banglore,Caffe Latte,245,122
01-Jun-24,B1,Banglore,Caffe Latte,46,47
01-Jul-24,B1,Banglore,Caffe Latte,109,9
01-Aug-24,B1,Banglore,Caffe Latte,84,40
01-Sep-24,B1,Banglore,Caffe Latte,81,31
01-Oct-24,B1,Banglore,Caffe Latte,194,82
01-Nov-24,B1,Banglore,Caffe Latte,509,221
01-Dec-24,B1,Banglore,Caffe Latte,153,1
01-Jan-25,B1,Banglore,Caffe Latte,60,-18
01-Feb-25,B1,Banglore,Caffe Latte,232,113
01-Mar-25,B1,Banglore,Caffe Latte,46,47
01-Apr-25,B1,Banglore,Caffe Latte,128,18
01-May-25,B1,Banglore,Caffe Latte,84,42
01-Jun-25,B1,Banglore,Caffe Latte,54,15
01-Jul-25,B1,Banglore,Caffe Latte,201,88
01-Aug-25,B1,Banglore,Caffe Latte,451,191
01-Sep-25,B1,Banglore,Caffe Latte,157,1
01-Oct-25,B1,Banglore,Caffe Latte,81,-6
01-Nov-25,B1,Banglore,Caffe Latte,261,132
01-Dec-25,B1,Banglore,Caffe Latte,46,46
01-Jan-26,B1,Banglore,Caffe Latte,132,24
01-Feb-26,B1,Banglore,Caffe Latte,86,40
01-Mar-26,B1,Banglore,Caffe Latte,55,16
01-Apr-26,B1,Banglore,Caffe Latte,179,70
01-May-26,B1,Banglore,Caffe Latte,534,233
01-Jun-26,B1,Banglore,Caffe Latte,140,-4
01-Jul-26,B1,Banglore,Caffe Latte,48,-22
01-Aug-26,B1,Banglore,Caffe Latte,341,180
01-Sep-26,B1,Banglore,Caffe Latte,46,46
01-Oct-26,B1,Banglore,Caffe Latte,110,9
01-Nov-26,B1,Banglore,Caffe Latte,82,39
01-Dec-26,B1,Banglore,Caffe Latte,60,19
01-Jan-21,M1,Mumbai,Caffe Mocha,134,54
01-Feb-21,M1,Mumbai,Caffe Mocha,546,203
01-Mar-21,M1,Mumbai,Caffe Mocha,341,99
01-Apr-21,M1,Mumbai,Caffe Mocha,190,9
01-May-21,M1,Mumbai,Caffe Mocha,126,-23
01-Jun-21,M1,Mumbai,Caffe Mocha,61,-172
01-Jul-21,M1,Mumbai,Caffe Mocha,219,95
01-Aug-21,M1,Mumbai,Caffe Mocha,250,17
01-Sep-21,M1,Mumbai,Caffe Mocha,43,11
01-Oct-21,M1,Mumbai,Caffe Mocha,123,48
01-Nov-21,M1,Mumbai,Caffe Mocha,150,38
01-Dec-21,M1,Mumbai,Caffe Mocha,180,7
01-Jan-22,M1,Mumbai,Caffe Mocha,90,-10
01-Feb-22,M1,Mumbai,Caffe Mocha,180,70
01-Mar-22,M1,Mumbai,Caffe Mocha,90,-10
01-Apr-22,M1,Mumbai,Caffe Mocha,80,28
01-May-22,M1,Mumbai,Caffe Mocha,45,10
01-Jun-22,M1,Mumbai,Caffe Mocha,140,33
01-Jul-22,M1,Mumbai,Caffe Mocha,112,34
01-Aug-22,M1,Mumbai,Caffe Mocha,120,13
01-Sep-22,M1,Mumbai,Caffe Mocha,189,80
01-Oct-22,M1,Mumbai,Caffe Mocha,545,201
01-Nov-22,M1,Mumbai,Caffe Mocha,340,98
01-Dec-22,M1,Mumbai,Caffe Mocha,220,16
01-Jan-23,M1,Mumbai,Caffe Mocha,128,-4
01-Feb-23,M1,Mumbai,Caffe Mocha,61,-203
01-Mar-23,M1,Mumbai,Caffe Mocha,243,106
01-Apr-23,M1,Mumbai,Caffe Mocha,290,26
01-May-23,M1,Mumbai,Caffe Mocha,47,11
01-Jun-23,M1,Mumbai,Caffe Mocha,123,48
01-Jul-23,M1,Mumbai,Caffe Mocha,154,42
01-Aug-23,M1,Mumbai,Caffe Mocha,155,3
01-Sep-23,M1,Mumbai,Caffe Mocha,104,-7
01-Oct-23,M1,Mumbai,Caffe Mocha,174,65
01-Nov-23,M1,Mumbai,Caffe Mocha,104,-7
01-Dec-23,M1,Mumbai,Caffe Mocha,56,17
01-Jan-24,M1,Mumbai,Caffe Mocha,45,10
01-Feb-24,M1,Mumbai,Caffe Mocha,140,33
01-Mar-24,M1,Mumbai,Caffe Mocha,112,35
01-Apr-24,M1,Mumbai,Caffe Mocha,118,12
01-May-24,M1,Mumbai,Caffe Mocha,198,84
01-Jun-24,M1,Mumbai,Caffe Mocha,567,211
01-Jul-24,M1,Mumbai,Caffe Mocha,325,94
01-Aug-24,M1,Mumbai,Caffe Mocha,227,17
01-Sep-24,M1,Mumbai,Caffe Mocha,125,-4
01-Oct-24,M1,Mumbai,Caffe Mocha,63,-208
01-Nov-24,M1,Mumbai,Caffe Mocha,213,91
01-Dec-24,M1,Mumbai,Caffe Mocha,298,27
01-Jan-25,M1,Mumbai,Caffe Mocha,41,9
01-Feb-25,M1,Mumbai,Caffe Mocha,121,47
01-Mar-25,M1,Mumbai,Caffe Mocha,155,41
01-Apr-25,M1,Mumbai,Caffe Mocha,150,0
01-May-25,M1,Mumbai,Caffe Mocha,107,-7
01-Jun-25,M1,Mumbai,Caffe Mocha,167,63
01-Jul-25,M1,Mumbai,Caffe Mocha,107,-7
01-Aug-25,M1,Mumbai,Caffe Mocha,53,15
01-Sep-25,M1,Mumbai,Caffe Mocha,45,10
01-Oct-25,M1,Mumbai,Caffe Mocha,134,32
01-Nov-25,M1,Mumbai,Caffe Mocha,110,34
01-Dec-25,M1,Mumbai,Caffe Mocha,120,12
01-Jan-26,M1,Mumbai,Caffe Mocha,198,84
01-Feb-26,M1,Mumbai,Caffe Mocha,587,220
01-Mar-26,M1,Mumbai,Caffe Mocha,325,93
01-Apr-26,M1,Mumbai,Caffe Mocha,227,17
